"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,6.28554620833333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,6.74217304166667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,6.36891133333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,5.92842029166667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,5.39673355,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,5.03388074166667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,4.785239725,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.37915150833333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.23432970833333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,5.56038543333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,5.21334044166667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,5.08119518333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,5.22337585833333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,5.6619398,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.07724431666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,6.05642340833333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,5.71030101666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,5.59376038333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,5.29985496666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,5.15891550833333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,6.46182218333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,3.93333333333333,,
