"edu","edu_cat","Freq","total","pct","country"
"1a  inadequately completed","01 less than secondary",8326,266534,0.0312380409253604,"Germany (pgcasmin)"
"1b general elementary school","01 less than secondary",17850,266534,0.066970817981946,"Germany (pgcasmin)"
"1c basic vocational qualification","01 less than secondary",51089,266534,0.191679110357403,"Germany (pgcasmin)"
"2a intermediate vocational","02 secondary",75563,266534,0.283502292390464,"Germany (pgcasmin)"
"2b intermediate general qualification","02 secondary",4237,266534,0.0158966585876474,"Germany (pgcasmin)"
"2c_gen general maturity certificate","02 secondary",10368,266534,0.0388993524278328,"Germany (pgcasmin)"
"2c_voc vocational maturity certificate","02 secondary",30022,266534,0.112638537672492,"Germany (pgcasmin)"
"3a lower tertiary education","03 More than secondary",21485,266534,0.0806088529043199,"Germany (pgcasmin)"
"3b higher tertiary education","03 More than secondary",43340,266534,0.162605896433476,"Germany (pgcasmin)"
"00 Missing","Missing",4164,266534,0.0156227723292338,"Germany (pgcasmin)"
