"edu","emp_status","Freq","total","pct","country"
"01 Postgrad - masters or doctorate","1",4647,94622,0.0491112003550971,"Australia (esdtl)"
"02 Grad diploma, grad certificate","1",5801,94622,0.0613070956014458,"Australia (esdtl)"
"03 Bachelors or honours","1",14692,94622,0.155270444505506,"Australia (esdtl)"
"04 Adv diploma, diploma","1",7941,94622,0.0839234004776902,"Australia (esdtl)"
"05 Cert III or IV","1",17073,94622,0.180433725772019,"Australia (esdtl)"
"08 Year 12","1",9283,94622,0.0981061486757836,"Australia (esdtl)"
"09 Year 11 and below","1",11409,94622,0.120574496417324,"Australia (esdtl)"
"01 Postgrad - masters or doctorate","2",1610,94622,0.0170150704910063,"Australia (esdtl)"
"02 Grad diploma, grad certificate","2",1568,94622,0.0165711990868931,"Australia (esdtl)"
"03 Bachelors or honours","2",4245,94622,0.0448627169157278,"Australia (esdtl)"
"04 Adv diploma, diploma","2",2197,94622,0.0232187017818266,"Australia (esdtl)"
"05 Cert III or IV","2",5435,94622,0.0574390733656021,"Australia (esdtl)"
"08 Year 12","2",3217,94622,0.0339984358817188,"Australia (esdtl)"
"09 Year 11 and below","2",5479,94622,0.0579040815032445,"Australia (esdtl)"
