year,AU,CH,DE,UK,IT,JP,KO,NE
1990,59.78147763,75.70722832,67.47510889,61.09672647,55.83899072,94.52646119,44.55091684,64.43043391
1991,61.6805411,80.14335843,70.20585139,65.65563159,59.32892725,97.59993093,48.70901461,66.46527428
1992,62.30489074,83.37875315,73.75614678,68.67024228,62.45591175,99.31796598,51.73514916,68.58125324
1993,63.3975026,86.12410656,77.05642092,70.42722397,65.34558108,100.5525339,54.21900669,70.35351706
1994,64.64620187,86.85800583,79.13159455,71.99001295,67.9932809,101.2518346,57.61626923,72.3244898
1995,67.63787721,88.42127584,80.48170658,73.93194008,71.55301648,101.1223345,60.19787391,73.71545216
1996,69.40686785,89.13895424,81.64847119,76.04031811,74.42012917,101.2604679,63.16250463,75.27364044
1997,69.56295525,89.60266813,83.23193667,77.71407435,75.94061263,103.030303,65.96632849,76.86134641
1998,70.16129032,89.61875078,83.99033385,79.12890697,77.42531659,103.712337,70.92260311,78.36716497
1999,71.20187305,90.34147838,84.4820411,80.51599778,78.71325573,103.35837,71.49920146,80.05768513
2000,74.37565036,91.74946701,85.69880906,81.4684668,80.71075046,102.6590693,73.11450053,81.94746467
2001,77.65348595,92.65688497,87.39895083,82.71684853,82.95867838,101.8993352,76.08764295,85.35307123
2002,79.96878252,93.2523986,88.64072002,83.97447753,85.00387792,100.958301,78.18957272,88.15907995
2003,82.15400624,93.84762764,89.55746696,85.13038654,87.27565376,100.6993007,80.93784178,90.00336648
2004,84.07908429,94.60111393,91.04925561,86.31403736,89.20159756,100.6906674,83.84398896,91.14069168
2005,86.34235172,95.70979277,92.45770533,88.11725541,90.97251062,100.4057671,86.15312805,92.6792652
2006,89.41207076,96.723862,93.9161593,90.28111707,92.87460382,100.656134,88.08454945,93.70012829
2007,91.49323621,97.43220628,96.07467364,92.43573146,94.57396864,100.7165674,90.3173579,95.21231587
2008,95.47346514,99.79595841,98.59988283,95.69077122,97.74014678,102.1065354,94.53860692,97.57977199
2009,97.16441207,99.31647083,98.90824177,97.56796745,98.49740629,100.7252007,97.14473991,98.74075355
2010,100,100,100,100,100,100,100,100
2011,103.3038502,100.2313366,102.0751745,103.8561124,102.7806327,99.7323664,104.0258462,102.3410702
2012,105.1248699,99.53718862,104.1253451,106.5285741,105.9065652,99.68056635,106.3011216,104.8541039
2013,107.7003122,99.32088583,105.6921411,108.9698539,107.1986183,100.0259,107.6845,107.4826899
2014,110.3798127,99.30774651,106.6505552,110.5511374,107.4570178,102.7885695,109.0571702,108.5317587
2015,112.0447451,98.17176456,107.1991876,110.9580174,107.4987009,103.6001036,109.8273408,109.1832185
2016,113.4755463,97.74510257,107.7263381,112.0769373,107.3976342,103.4792368,110.8945054,109.5289654
2017,115.6867846,98.26686201,109.3524635,114.9435916,108.7149018,103.962704,113.0508001,111.0420628
2018,117.8980229,99.18694771,111.2466315,117.5790642,109.9515203,104.9814383,114.7192744,112.9336621
2019,119.7970864,99.54691302,112.8548873,119.6227113,110.6235956,105.4821721,115.1585874,115.9079949
