Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,7849.51220703125,5323.66259765625,9124.4677734375,9475.6826171875,9621.509765625,9520.9404296875,9313.013671875,9313.9677734375,9473.1796875,9739.900390625,9958.4609375,9711.41796875
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Germany,DEU,29485.7099744881,34490.0757688619,39977.3417095357,40069.3539560742,40135.0158319837,40851.1617304855,41103.2564363768,41682.0322433511,42639.5544087286,42973.2899573032,43329.0506893066,41315.3135706623
"GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,""Korea, Rep."",KOR,9365.39498597615,16992.4790763689,26186.8975422978,26675.4401708559,27394.6503074507,28094.9177029868,28732.2310762599,29461.7840071118,30307.395236491,31053.6379289101,31640.2146297141,31327.4094002797"
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Australia,AUS,36974.4509255049,45558.753131278,54108.1110551111,55254.6062126847,55723.9482270935,56305.9790936359,56707.0220772116,57358.7827974217,57695.5712591341,58447.2526505317,58781.0466570626,58029.5155258862
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Netherlands,NLD,31106.0519601296,40456.9422374474,44869.3129413094,44242.9735261304,44055.3042590473,44521.8945390276,45193.4032187971,45938.7850440865,46997.3454541962,47826.8191172843,48443.7320540283,46345.3472097391
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Italy,ITA,27490.6320397627,32350.9043668747,32229.4567910904,31184.5584255896,30257.6274259351,29979.9187217358,30242.3861352184,30685.645898943,31244.2270989224,31593.4802621599,32119.7444107572,29358.1294303082
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United Kingdom,GBR,31469.1612929282,39229.2684645729,42771.6411209323,43099.5973494837,43621.0592250195,44596.1897498767,45404.5677734722,46081.7152875555,46746.6418904989,47231.3368868464,47750.8796619598,43166.1552001396
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Switzerland,CHE,70199.3238998774,74013.0564120652,82677.599030338,82800.0740759839,83344.523368231,84348.3928201784,84776.1421659748,85570.3960583982,86119.1453732551,87980.6706854377,88413.1917082485,85685.2902734836
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Japan,JPN,28422.2131195125,31430.6311303282,33011.13423011,33518.444936892,34239.8862473683,34386.905855287,34960.6393843385,35242.1993771881,35861.9728545838,36117.2276899342,36081.0653118215,34556.4399294744
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: Sustainable Development Goals (SDGs),,,,,,,,,,,,,,,
Last Updated: 07/22/2022,,,,,,,,,,,,,,,
